timestamp,lat,lon
2026-03-12 15:00:00,39.9814,-105.2428
2026-03-12 15:02:40,39.983104,-105.245281
2026-03-12 15:04:47,39.984456,-105.247251
2026-03-12 15:06:48,39.985744,-105.249128
2026-03-12 15:09:35,39.987821,-105.251321
2026-03-12 15:11:52,39.989565,-105.253065
2026-03-12 15:14:07,39.991284,-105.254784
2026-03-12 15:16:21,39.992935,-105.256219
2026-03-12 15:18:29,39.994506,-105.257552
2026-03-12 15:21:16,39.996555,-105.259292
2026-03-12 15:23:22,39.998027,-105.260408
2026-03-12 15:26:05,39.999913,-105.261804
2026-03-12 15:28:52,40.001831,-105.263226
2026-03-12 15:31:49,40.003225,-105.264373
2026-03-12 15:34:23,40.004437,-105.265371
2026-03-12 15:36:28,40.008794,-105.270478
2026-03-12 15:38:33,40.008937,-105.270152
2026-03-12 15:40:34,40.008819,-105.270199
2026-03-12 15:43:18,40.009031,-105.269927
2026-03-12 15:45:55,40.009182,-105.269452
2026-03-12 15:48:43,40.009408,-105.269636
2026-03-12 15:51:04,40.00943,-105.269187
2026-03-12 15:53:52,40.009537,-105.268996
2026-03-12 15:55:58,40.009584,-105.268784
2026-03-12 15:58:14,40.009819,-105.268866
2026-03-12 16:00:48,40.010053,-105.268283
2026-03-12 16:02:53,40.009714,-105.268354
2026-03-12 16:05:32,40.010075,-105.268089
2026-03-12 16:07:44,40.01003,-105.267827
2026-03-12 16:09:58,40.010143,-105.26791
2026-03-12 16:12:52,40.010166,-105.267217
2026-03-12 16:15:09,40.009996,-105.266976
2026-03-12 16:17:19,40.010208,-105.266763
2026-03-12 16:19:36,40.010263,-105.266765
2026-03-12 16:21:40,40.010309,-105.266429
2026-03-12 16:24:26,40.010434,-105.265969
2026-03-12 16:26:43,40.010655,-105.265883
2026-03-12 16:29:18,40.010353,-105.265572
2026-03-12 16:32:07,40.010095,-105.265575
2026-03-12 16:34:09,40.00994,-105.26547
2026-03-12 16:36:13,40.009784,-105.26494
2026-03-12 16:39:09,40.009435,-105.265106
2026-03-12 16:41:40,40.009016,-105.264696
2026-03-12 16:44:09,40.009045,-105.264643
2026-03-12 16:46:56,40.008669,-105.264546
2026-03-12 16:49:33,40.008378,-105.264268
2026-03-12 16:51:56,40.008388,-105.263772
2026-03-12 16:54:28,40.007865,-105.264164
2026-03-12 16:57:23,40.007901,-105.264224
2026-03-12 17:00:13,40.007416,-105.264632
2026-03-12 17:02:37,40.006948,-105.264345
2026-03-12 17:05:10,40.006983,-105.264602
2026-03-12 17:08:10,40.006872,-105.264904
2026-03-12 17:10:53,40.006556,-105.265198
2026-03-12 17:13:42,40.006085,-105.265264
2026-03-12 17:16:09,40.005879,-105.265345
2026-03-12 17:18:55,40.005665,-105.265574
2026-03-12 17:21:27,40.00554,-105.265975
2026-03-12 17:23:33,40.005542,-105.266176
2026-03-12 17:26:13,40.00532,-105.266448
2026-03-12 17:28:36,40.005347,-105.266899
2026-03-12 17:31:25,40.005496,-105.267238
2026-03-12 17:34:03,40.005176,-105.267428
2026-03-12 17:37:02,40.004878,-105.267568
2026-03-12 17:39:53,40.005013,-105.26816
2026-03-12 17:42:49,40.004903,-105.268595
2026-03-12 17:45:35,40.004902,-105.268902
2026-03-12 17:48:23,40.005017,-105.269213
2026-03-12 17:51:05,40.005054,-105.26946
2026-03-12 17:53:21,40.005148,-105.26975
2026-03-12 17:55:34,40.005595,-105.270041
2026-03-12 17:58:18,40.005572,-105.270143
2026-03-12 18:01:00,40.005591,-105.270629
2026-03-12 18:03:33,40.005699,-105.270766
2026-03-12 18:05:37,40.005798,-105.270874
2026-03-12 18:07:51,40.005974,-105.271252
2026-03-12 18:10:36,40.006062,-105.271576
2026-03-12 18:13:33,40.006421,-105.271606
2026-03-12 18:16:05,40.006497,-105.271548
2026-03-12 18:18:18,40.006443,-105.271859
2026-03-12 18:21:14,40.006701,-105.271984
2026-03-12 18:24:04,40.00689,-105.272015
2026-03-12 18:26:10,40.007254,-105.272045
2026-03-12 18:28:37,40.007109,-105.272086
2026-03-12 18:30:40,40.007287,-105.272599
2026-03-12 18:32:46,40.007766,-105.272302
2026-03-12 18:35:37,40.007833,-105.272554
2026-03-12 18:37:49,40.009619,-105.261683
2026-03-12 18:40:00,40.009825,-105.261241
2026-03-12 18:42:59,40.010179,-105.260703
2026-03-12 18:45:53,40.010305,-105.260241
2026-03-12 18:48:27,40.010619,-105.259912
2026-03-12 18:51:26,40.010787,-105.259288
2026-03-12 18:53:52,40.010947,-105.258806
2026-03-12 18:56:17,40.01122,-105.258399
2026-03-12 18:58:17,40.011404,-105.258025
2026-03-12 19:01:07,40.011604,-105.257563
2026-03-12 19:03:51,40.012011,-105.257079
2026-03-12 19:06:26,40.012,-105.256624
2026-03-12 19:08:38,40.012174,-105.256021
2026-03-12 19:11:15,40.012436,-105.255727
2026-03-12 19:13:35,40.012706,-105.255261
2026-03-12 19:16:07,40.012908,-105.254872
2026-03-12 19:18:10,40.013036,-105.254468
2026-03-12 19:20:21,40.0132,-105.253959
2026-03-12 19:23:16,40.013404,-105.253279
2026-03-12 19:26:12,40.013553,-105.252679
2026-03-12 19:28:14,40.013734,-105.252228
2026-03-12 19:30:51,40.013931,-105.251614
2026-03-12 19:33:07,40.014179,-105.250989
2026-03-12 19:35:22,40.01432,-105.25054
2026-03-12 19:38:03,40.014511,-105.249915
2026-03-12 19:40:51,40.014749,-105.249335
